id	name
1000174	中国石油集团川庆钻探工程有限公司培训中心
1000175	成都实鑫天然气开发公司（恒发）
1000176	(统)云南水富云天化有限公司
1000177	四川威远石牛氮肥有限公司
1000178	威远县殡仪馆
1000179	威远瓷厂
1000180	四川石油管理局成都六菱化工厂
1000181	四川威玻股份有限公司
1000182	威远汽车公司
1000183	威远县新店燃气有限责任公司
1000184	成渝钒钛科技有限公司
1000185	温江区兴能天然气有限责任公司
1000186	成都台商投资区天然气开发有限公司
1000187	成都市贝多化工有限公司（温氮）
1000188	成都三国红光机械电子有限公司
1000189	郫县氮肥厂
1000190	成都市郫都区兴能天然气有限责任公司
1000191	新都金宇物业管理有限公司
1000192	燃气涡轮研究所（624所）
1000193	四川永星电子有限公司
1000194	成都庆光电器总厂（新都电器分厂）
1000195	四川省明圣天然气有限责任公司
1000196	锦江油泵油嘴厂二分厂（新都）
1000197	四川省冶金机械厂（新都）
1000198	成都红光电工公司
1000199	华西铝业有限责任公司(成都铝箔厂)
1000200	成都油缸厂
1000201	成都旭光电子股份有限公司
1000202	新都工业区天然气管理站
1000203	宜宾外贸粮油肉类食品有限公司
1000204	宜宾氮肥厂
1000205	中国华电集团公司宜宾发电总厂
1000206	重庆啤酒集团宜宾有限公司
1000208	宜宾市农业科学研究所
1000209	宜宾亚科特饮料有限公司（太子乐肉联厂）
1000211	中核建中核燃料元件有限公司
1000212	宜宾县烨烽天然气有限责任公司
1000213	中江龙华集团有限公司
1000214	重庆国光集团公司重庆中药厂
1000215	中国重汽集团重庆燃油喷射系统有限公司
1000216	重庆民丰化工有限责任公司
1000217	川东南地质大队
1000218	重庆工商大学
1000219	重庆地质仪器厂
1000220	重庆虎溪电机厂
1000221	重庆弛宇机械制造有限责任公司
1000222	资阳港华燃气有限公司
1000223	四川省资阳市天台化工有限责任公司
1000224	四川省烟草物资公司卷烟配套材料厂资阳分厂
1000225	四川石油管理局资阳汽车运输公司
1000226	中车资阳机车有限公司
1000227	乐至氮肥厂
1000228	四川石油管理局物资总公司资阳公司
1000229	自贡市个体车
1000230	四川省犍为恒邦天然气有限公司
1000231	犍为新兴实业发展有限公司
1000242	青莲镇民用气
1000245	成都电视设备厂（明日）
1000246	(停)TEMP华阳协和农机
1000247	成都八晟实业有限公司
1000248	成都康迪食品有限公司
1000249	TEMP计量分院
1000250	成都天益燃气有限责任公司
1000252	邓关盐厂
1000253	嘉华水泥厂
1000254	嘉乐造纸厂
1000255	(停)威远机修厂
1000256	吐哈勘探开发指挥部广汉离退休职工管理部
1000257	四川石油管理局南充公共事务管理中心（惠森）
1000258	四川石油管理局输气公司
1000259	四川同庆南风化工有限公司
1000260	借田民用
1000261	峨眉山市燃气有限责任公司天佛CNG加气站(金沙)
1000263	搪瓷厂
1000267	中国石油天然气股份有限公司西南油气田渠县加气加油站
1000269	旅游公司车队
1000270	星华仪器厂
1000271	四川眉山建华电子仪器有限公司
1000272	四川丹甫制冷压缩机有限责任公司（建川）
1000273	眉山市人民医院（408医院）
1000276	(停)川西南带气加工
1000277	夹江县永发建材工业公司
1000278	输气化肥厂
1000279	川油广汉复合肥厂
1000280	中油四川石油天然气销售公司
1000282	四川省井研县佳泉瓷业有限公司
1000283	四川医药包装股份有限公司
1000284	四川石油输气气通天然气公司
1000285	金堂沱江燃气有限责任公司
1000286	四川仁寿顺泰燃气有限公司
1000287	广安市佳源燃气有限责任公司
1000288	蓬安县天然气公司(蓬安站)
1000290	四川长宁县竹海玻璃制品有限公司
1000294	重庆市利民天然气有限公司
1000297	绵阳西蒲公司
1000298	川西南矿区恒大实业公司
1000299	夹江县天然气有限责任公司（金沙）
1000300	威远县新场镇天然气有限公司
1000301	(停)四川电子焊接设备公司
1000302	四川二峨曲酒厂
1000305	华油集团燃气销售公司(带气加工)
1000307	四川和协电力有限公司
1000308	四川天新燃气有限责任公司
1000309	眉山青神华龙天然气有限责任公司
1000310	标定中心
1000311	四川省新万兴瓷业有限公司
1000312	四川佳源燃气有限公司（光大）
1000313	广汉市玻璃制瓶有限公司
1000315	泸州三江燃气有限责任公司
1000316	川开电气有限公司
1000317	浅气层公司
1000318	乐山峨沙天然气有限责任公司（燃建+天佛）
1000319	乐山方舟铝业有限公司
1000328	自贡市工业开发区天司
1000329	夹江华兴瓷厂
1000330	四川省农科院经济作物育种载培研究所
1000331	输气管理处(生产)
1000332	中国石油天然气股份有限公司西南油气田威远压缩天然气站
1000333	夹江科达瓷厂
1000334	(停)川油输气华龙技术开发公司
1000335	输气公司劳服司
1000336	夹江蓉华陶瓷厂
1000337	乐山裕华釉料有限责任公司
1000338	宜宾芙蓉玻棉制品有限责任公司
1000339	方正瓷业有限公司
1000340	四川省渠县农贸有限公司
1000341	夹江县美乐陶瓷厂
1000342	川盐肥料公司
1000343	资阳钢管厂
1000344	九禾农资股份有限公司
1000345	川中油气矿
1000346	四川省犍为华生瓶业有限公司（犍为玻璃厂）
1000347	川西南气矿
1000348	眉山压缩天然气发展有限责任公司
1000349	平武县天然气有限责任公司
1000350	四川同庆思明化工有限公司天然气汽车加气站
1000351	四川金象化工股份有限公司（彭州）
1000352	乐山市蓉嘉压缩天然气有限责任公司
1000353	四川夹江县明珠瓷砖厂
1000354	夹江县华丽琉璃厂
1000355	夹江县光达陶瓷厂
1000356	新津县花源天然气有限公司
1000357	渡舟脱硫分厂
1000358	峨眉山金陶瓷业发展有限公司
1000359	夹江宏发瓷厂
1000360	四川省威远建业集团有限公司
1000361	自贡市燃气有限责任公司
1000362	四川省广汉市天益天然气有限责任公司
1000363	四川新顺通天然气有限责任公司(眉夹乐)
1000365	四川省井研县欧鹏瓷业有限公司
1000366	四川省资阳新源压缩天然气有限公司
1000367	井研县亚神诺瓷业有限公司
1000368	乐山市中嘉压缩天然气有限公司
1000369	四川石油管理局油气田建设工程总公司生活服务公司
1000370	自贡市邓关玻璃纤维有限公司
1000371	四川新顺通天然气有限责任公司(金沙)
1000373	成都凯能天然气有限责任公司
1000374	郫县华油天然气科技有限公司
1000375	(统)四川宏泰生化有限公司
1000376	宜宾县佳烨燃气有限责任公司
1000377	峨眉山天旅压缩天然气有限责任公司
1000378	四川博能燃气股份有限公司(CNG)
1000380	广汉市中油燃气有限公司
1000381	(停)永兴站
1000382	四川和邦盐化有限公司
1000383	乐山盛和稀土股份有限公司
1000384	罗江天然气公司
1000385	宝鸡石油机械有限责任公司广汉钻采设备厂
1000386	峨眉山金陶瓷业发展有限公司(金沙)
1000387	李家坝瓷厂
1000388	峨眉山市燃气有限责任公司（金沙）
1000389	(停)重庆化工厂
1000390	绵阳西磁科技开发公司
1000391	曲江提灌站
1000392	文星玻璃厂
1000393	乐山华丰磁化复合肥厂
1000394	乐山玻璃厂
1000395	输气复合肥料厂
1000396	销售公司乐山CNG
1000397	(停)江油川西北佳信化工厂
1000398	四川石油管理局华油公司
1000399	四川石油管理局物资总公司
1000401	四川省第六人民医院
1000403	青北江天然气公司
1000404	四川华油油气田产业公司广汉油化分厂
1000405	四川兴能燃气科技股份有限公司
1000406	四川省机场集团有限公司
1000407	非天然气款
1000410	四川医药包装股份有限公司(金沙)
1000411	乐山峨沙天然气有限责任公司（天旅+沙湾民用）
1000412	峨眉山天旅压缩天然气有限责任公司(金沙)
1000413	四川乐华燃气有限责任公司(金沙)
1000416	犍为新兴实业发展有限公司
1000417	成都市中和天然气有限公司
1000418	犍为天然气公司（圣洁）
1000419	乐山利嘉压缩天然气有限公司
1000420	应退气款
1000421	简阳市汽车运输公司(金风车用)
1000422	四川广汉士达炭素股份有限公司
1000423	绵阳燃气有限责任公司（天润CNG）
1000424	合江川油压缩天然气有限公司
1000425	四川英惠燃气发电有限公司
1000429	自贡气款户
1000430	中国石油西南油气田销售分公司乐山CNG加气站
1000431	四川广汉和兴燃气有限公司
1000432	自贡市公交集团有限责任公司
1000433	蓬溪县祥兴压缩天然气洁能有限责任公司
1000434	四川宏源燃气股份有限公司
1000435	资阳百江燃气有限公司（CNG）
1000436	四川石油输气化肥厂广汉经营部
1000437	四川新顺通天然气有限责任公司(杨场站）
1000438	四川眉山川佛油气发展有限公司
1000441	四川佳源燃气有限责任公司
1000442	(统)射洪县洪达家鑫化工有限责任公司
1000443	华油天然气股份有限公司
1000444	成都市佳兴燃气有限责任公司
1000445	成都华阳华气天然气有限责任公司
1000446	自贡供销公司
1000447	广汉特种水泥厂
1000448	四川美青氰胺有限责任公司
1000449	中国石油西南油气田分公司川中油气矿
1000450	四川省川气东送压缩天然气有限公司
1000451	峨眉山市燃气有限责任公司天佛CNG加气站
1000452	成都市吉安燃气有限责任公司
1000453	四川乐华燃气有限责任公司
1000454	(停)曲江提灌站
1000455	四川德阳东辉化工有限责任公司
1000456	中江天然气公司
1000457	(停)江油绵洲燃气有限责任公司
1000458	(停)新津南方天然气有限公司
1000459	(停)江安县博友天然气有限公司
1000460	(停)仁寿县隆鑫天然气经营部
1000461	(停)仁寿县宝飞民用天然气经营部
1000462	威远县越溪镇天然气有限公司
1000463	(停)荣县双古民用天然气经营部
1000464	(停)罗江龙洲天然气有限责任公司
1000465	成都市华新能源服务有限公司
1000466	江安县博友天然气有限公司
1000467	仁寿县隆鑫天然气经营部
1000468	仁寿祥云燃气有限公司
1000469	威远县越溪天然气有限公司
1000470	四川江油绵洲燃气有限责任公司
1000471	罗江县龙洲天然气有限责任公司
1000472	荣县顺发天然气有限公司
1000473	罗家寨项目组
1000474	天然气研究院
1000475	成都市晶冠陶瓷釉料有限公司
1000476	中国石油天然气股份有限公司华北天然气销售分公司
1000477	南充市新星燃气有限公司
1000478	中江县兴隆顺风燃气有限公司
1000479	三台县天龙燃气有限公司
1000480	忠县净化厂
1000481	江津佳禾燃气有限责任公司
1000482	蓬安县天然气汽车加气站
1000483	乐山市煤气总公司（金沙）
1000484	南充市新力管道燃气开发有限公司
1000485	四川仁寿华宇瓷业有限公司
1000486	眉山市凯丰陶瓷有限公司
1000487	输气公司劳动服务公司
1000488	四川华油实业发展总公司
1000489	华油集团燃气销售公司(劳小区)
1000490	四川川港燃气有限责任公司南充嘉陵加油加气站
1000491	(统)四川金象赛瑞化工股份有限公司
1000492	(停)四川石油管理局华阳公共事务管理中心（华阳片区）
1000493	四川石油管理局川西公共事务管理中心
1000494	西南铝业（集团）有限责任公司(新项目)
1000495	东方汽轮机厂（试验用气）
1000496	四川石油管理局川西公共事务管理中心(广汉片区)
1000497	荣县旭瑞天然气有限公司
1000498	夹江新顺通天然气有限责任公司(天建瓷厂）
1000499	中国石油天然气股份有限公司四川南充销售分公司（鹤鸣CNG）
1000500	四川石油管理局成都公共事物管理中心
1000501	成都荣和天然气有限责任公司
1000502	中油南充燃气有限责任公司
1000503	夹江新顺通天然气有限责任公司(丹夹峨)
1000504	江安县巨峰燃气有限责任公司（自贡）
1000505	四川诚实燃气发展有限公司(云南)
1000506	四川泸天化绿源醇业有限责任公司
1000507	江安县巨峰燃气有限责任公司（宜宾）
1000508	成都南玻玻璃有限公司
1000509	井研县天宝燃气有限责任公司五通分公司
1000510	中国石油西南油气田分公司川中油气矿
1000511	云南云天化股份有限公司（带气加工）
1000512	川化股份有限公司（带气加工）
1000513	四川新顺通天然气有限责任公司（夹天司民用）
1000514	乐山腾龙天然气有限责任公司（峨疗）
1000515	二重集团(德阳)重型装备有限责任公司（超合同）
1000516	乐山峨沙天然气有限责任公司（1.0710）
1000517	乐山峨沙天然气有限责任公司（医包）
1000518	乐山峨沙天然气有限责任公司（1.0260）
1000519	乐山峨沙天然气有限责任公司（金陶）
1000520	四川泸天化股份有限公司（带气加工）
1000521	四川天华股份有限公司（带气加工）
1000522	贵州赤天化股份有限公司（带气加工）
1000523	四川石油管理局川西公共事务管理中心(资阳片区)
1000524	四川长征制药股份有限公司（金沙）
1000525	四川瑞松纸业有限公司（金沙）
1000526	乐山市蓉嘉压缩天然气有限责任公司（金沙）
1000527	乐山市中嘉压缩天然气有限公司（金沙）
1000528	乐山利嘉压缩天然气有限公司（金沙）
1000529	四川诚实燃气发展有限公司(金沙）
1000530	(停)巴中兴圣天然气有限责任公司
1000531	巴中兴圣天然气有限责任公司
1000532	重庆杜拉维特洁具有限公司
1000533	中国石油集团川庆钻探工程有限公司安全环保质量监督检测研究院
1000534	江津市车用天然气有限公司
1000535	眉山市海宇压缩天然气有限公司
1000536	(统)四川佳源燃气股份有限责任公司井研分公司
1000537	四川佳源燃气有限责任公司资阳分公司
1000538	四川诚实燃气发展有限公司(威玻)
1000539	四川锦华化工有限责任公司
1000540	成都世纪源通燃气有限公司
1000541	资阳市恒凌燃气有限公司公交CNG
1000542	成都世纪源通燃气有限责任公司
1000543	资阳市恒凌燃气有限公司公交CNG站
1000544	中国石油西南油气田分公司西彭加气站
1000545	其他(输气)
1000546	四川佳源燃气有限责任公司金堂分公司
1000547	其他(输气年计划)
1000548	江安县巨峰燃气有限责任公司
1000549	井研天宝燃气有限责任公司
1000550	乐山峨沙天然气有限责任公司
1000551	乐山市燃气有限责任公司(合计)
1000552	四川新顺通天然气有限责任公司
1000553	其他(月计划富余)
1000554	南充合能压缩天然气有限责任公司
1000555	四川诚实燃气发展有限公司（贵州）
1000556	四川新顺通天然气有限责任公司(三益CNG)
1000557	四川诚实燃气发展有限公司(江津禾丰)
1000558	蓬安县天然气公司(长乐站)
1000559	蓬安县天然气公司(花桥站)
1000560	蓬安县天然气公司
1000561	华中天然气销售分公司(涨价部分)
1000562	重庆凯源石油天然气有限责任公司（西城分公司）
1000563	四川诚实燃气发展有限公司(台商)
1000564	绵阳运利达天然气有限责任公司
1000565	乐山峨沙天然气有限责任公司（沙湾工业）
1000566	自贡市公交集团有限责任公司（合计）
1000567	自贡市公交集团有限责任公司（宇星）
1000568	四川省眉山市兴海宇燃气有限公司
1000569	四川佳源燃气有限公司（眉山分公司）
1000570	乐山市岷江燃气有限责任公司
1000571	(统)射洪丰泽天然气有限公司
1000572	重庆市渝川燃气有限责任公司
1000573	四川天华股份有限公司（绿源醇气）
1000574	广汉中天洋燃气有限公司
1000575	绵阳公交圣水CNG站
1000576	南江县天然气公司
1000577	平昌县港华燃气公司
1000578	通江华润燃气有限公司
1000579	成都世纪新能源公司
1000580	成都天府新区中天洋燃气有限公司
1000581	川化禾浦化工有限责任公司
1000582	四川诚实燃气发展有限公司(龙泉)
1000583	四川诚实燃气发展有限公司(双流)
1000584	四川和邦生物科技股份有限公司(60万吨联碱)
1000585	四川朗泰能源贸易有限公司
1000586	赤水市联众燃气有限公司
1000587	四川兴能燃气集团有限公司
1000588	四川诚实燃气发展有限公司(视高)
1000589	四川广厦利民天然气有限公司
1000590	巴中通达汽车燃气有限公司
1000591	四川省巴中市发展天然气汽车有限公司
1000592	四川诚实燃气发展有限公司(乐华)
1000593	成都青光商贸有限公司温江燎原CNG加气站
1000594	四川佳源燃气有限责任公司江安分公司
1000596	华油集团川西北分公司
1000597	岳池合众能源开发有限公司
1000598	成都通能压缩天然气有限公司
1000599	重庆中燃城市燃气发展有限公司
1000600	渠县天通燃气有限公司
1000601	四川华石环保科技有限公司
1000602	威远庚星天然气有限公司
1000603	华油天然气股份有限公司（龙泉CNG）
1000604	四川川港燃气有限责任公司成都分公司
1000605	鸿富锦精密电子(成都)有限公司
1000606	四川川港燃气有限责任公司成都分公司(成都)
1000607	四川川港燃气有限责任公司成都分公司(资阳地区)
1000608	四川川港燃气有限责任公司成都分公司(江安地区)
1000609	四川川港燃气有限责任公司
1000610	四川龙蟒钛业股份有限公司
1000611	重庆川港燃气有限公司
1000612	中国石油天然气股份有限公司四川眉山销售分公司
1000613	乐山市市中区嘉泰天然气有限公司
1000614	四川石油天然气建设工程有限责任公司
1000615	乐山涌江实业股份有限公司
1000616	泸州化工园区天然气有限公司
1000617	成都蜀油绿能燃气发展有限公司
1000618	资阳川港燃气有限公司
1000619	四川川港燃气有限责任公司江安营销部
1000620	川天化1.4丁二醇项目
1000621	四川天华富邦化工有限责任公司
1000622	中国石油四川石化有限责任公司
1000623	四川金坤天然气有限责任公司
1000624	渠县鑫昇燃气有限公司
1000625	广汉市三水宏鑫燃气有限责任公司
1000626	都江堰市集能燃气有限公司
1000627	犍为县广盛压缩天然气有限责任公司
1000628	中江县安鸿燃气输配有限责任公司
1000629	新津川港燃气有限公司
1000630	嘉会能源技术有限责任公司龙泉驿区十陵CNG加气站
1000631	忠武线外输
1000632	乐山和邦农业科技有限公司
1000633	珙县鼎成天然气有限公司
1000634	彭州川港燃气有限公司
1000635	绵阳泰力能源投资有限公司
1000636	四川广能能源有限公司
1000637	棣华能源投资有限公司
1000638	乐山鑫能燃气有限公司
1000639	泸州市西部天然气有限公司宜宾分公司
1000640	绵阳东升能源有限公司
1000641	绵阳三阳能源科技有限公司
1000642	宜宾国鼎天燃气有限公司
1000643	广汉市宏一天然气有限公司
1000644	成都蜀江公交压缩天然气有限公司
1000645	重庆恒盛能源开发有限公司
1000646	合江县星焰天然气有限公司
1000647	乐山市蜀泰天然气有限公司
1000648	优尼科东海有限公司
1000649	四川西南不锈钢有限公司
1000650	玖龙纸业（乐山）有限公司
1000651	四川新顺通天然气有限责任公司（鑫能燃气）
1000652	(清)四川佳源燃气股份有限责任公司井研分公司
1000653	成都永泰车用燃气技术有限公司高新区中和加气站
1000654	(清)重庆和友碱胺实业有限公司
1000655	(清)成都玉龙化工有限公司
1000656	(清)四川广宇化工股份有限公司
1000657	(清)四川天华股份有限公司
1000658	(清)重庆禾丰化工股份有限公司
1000659	(清)井研县桂祥化工有限责任公司
1000660	(清)四川泸天化股份有限公司
1000661	(清)四川和邦生物科技股份有限公司(30万吨联碱)
1000662	(清)四川金杯化工有限公司
1000663	(清)四川蓥峰实业有限公司
1000664	(清)贵州赤天化股份有限公司赤水化工分公司
1000665	(清)云南水富云天化有限公司
1000666	(清)四川宏泰生化有限公司
1000667	(清)射洪县洪达家鑫化工有限责任公司
1000668	(清)四川金象赛瑞化工股份有限公司
1000669	(清)射洪丰泽天然气有限公司
1000670	(清)都江堰市集能燃气有限公司
1000671	成都金鼎安全印制有限责任公司
1010006	(清)长宁县天能燃气有限责任公司
1010024	(清)四川博能燃气股份有限公司
1010030	(清)龙泉驿华油兴能天然气有限公司
1010032	(清)成都城市燃气有限责任公司
1010076	(清)重庆江津天然气有限责任公司
1010081	(清)四川省金堂县燃气公司
1010084	(清)井研天宝燃气有限责任公司(井研)
1010093	(清)乐山市燃气有限责任公司
1010102	(清)四川省眉山天然气有限责任公司
1010103	(清)四川省眉山市兴能天然气有限公司
1010114	(清)绵阳燃气有限责任公司
1010117	(清)南充市高坪区东观燃气有限公司
1010118	(清)南充嘉能天然气有限责任公司
1010119	(清)南充十里工业街开发建设股份有限公司天然气公司
1010126	(清)渠县华润燃气有限责任公司
1010127	(清)简阳港华燃气有限公司
1010137	(清)仁寿县恒烨燃气有限公司
1010148	(清)四川联发天然气有限责任公司
1010153	(清)双流华阳天然气有限责任公司
1010158	(清)双流县兴能天然气有限责任公司
1010171	(清)眉山新源燃气有限责任公司
1010183	(清)威远县新店燃气有限责任公司
1010185	(清)温江区兴能天然气有限责任公司
1010186	(清)成都台商投资区天然气开发有限公司
1010190	(清)成都市郫都区兴能天然气有限责任公司
1010195	(清)四川省明圣天然气有限责任公司
1010212	(清)宜宾县烨烽天然气有限责任公司
1010222	(清)资阳港华燃气有限公司
1010230	(清)四川省犍为恒邦天然气有限公司
1010288	(清)蓬安县天然气公司(蓬安站)
1010294	(清)重庆市利民天然气有限公司
1010300	(清)威远县新场镇天然气有限公司
1010308	(清)四川天新燃气有限责任公司
1010309	(清)眉山青神华龙天然气有限责任公司
1010315	(清)泸州三江燃气有限责任公司
1010349	(清)平武县天然气有限责任公司
1010356	(清)新津县花源天然气有限公司
1010362	(清)四川省广汉市天益天然气有限责任公司
1010373	(清)成都凯能天然气有限责任公司
1010376	(清)宜宾县佳烨燃气有限责任公司
1010431	(清)四川广汉和兴燃气有限公司
1010465	(清)成都市华新能源服务有限公司
1010466	(清)江安县博友天然气有限公司
1010468	(清)仁寿祥云燃气有限公司
1010469	(清)威远县越溪天然气有限公司
1010472	(清)荣县顺发天然气有限公司
1010477	(清)南充市新星燃气有限公司
1010478	(清)中江县兴隆顺风燃气有限公司
1010479	(清)三台县天龙燃气有限公司
1010484	(清)南充市新力管道燃气开发有限公司
1010497	(清)荣县旭瑞天然气有限公司
1010501	(清)成都荣和天然气有限责任公司
1010502	(清)中油南充燃气有限责任公司
1010504	(清)江安县巨峰燃气有限责任公司（自贡）
1010505	(清)四川诚实燃气发展有限公司(云南)
1010507	(清)江安县巨峰燃气有限责任公司（宜宾）
1010531	(清)巴中兴圣天然气有限责任公司
1010542	(清)成都世纪源通燃气有限责任公司
1010546	(清)四川佳源燃气有限责任公司金堂分公司
1010548	(清)江安县巨峰燃气有限责任公司
1010551	(清)乐山市燃气有限责任公司(合计)
