year	month	day	volume	company
2018	8	29	0	4000183
2018	8	29	20	4000184
2018	8	29	0.3871	4000186
2018	8	29	0.4194	4000187
2018	8	29	3	4000188
2018	8	29	0.25	4000189
2018	8	29	0.2581	4000190
2018	8	29	0	4000191
2018	8	29	0.6129	4000192
2018	8	29	0.129	4000193
2018	8	29	0.0645	4000194
2018	8	29	0	4000195
2018	8	29	2.4194	4000196
2018	8	29	1.2903	4000197
2018	8	29	0.0645	4000198
2018	8	29	0.7419	4000199
2018	8	29	0.0129	4000200
2018	8	29	1.129	4000201
2018	8	29	0.1613	4000202
2018	8	29	0.3226	4000203
2018	8	29	0	4000204
2018	8	29	0	4000205
2018	8	29	0	4000206
2018	8	29	1.7742	4000207
2018	8	29	0.3548	4000208
2018	8	29	0	4000209
2018	8	29	0	4000210
2018	8	29	0	4000211
2018	8	29	0	4000212
2018	8	29	0	4000213
2018	8	29	0.5484	4000214
2018	8	29	0.15	4000215
2018	8	29	6.7742	4000216
2018	8	29	0	4000217
2018	8	29	1.7661	4000218
2018	8	29	12.9032	4000219
2018	8	29	2.7419	4000220
2018	8	29	0	4000221
2018	8	29	1.2903	4000222
2018	8	29	1.4194	4000223
2018	8	29	0.9355	4000224
2018	8	29	3.3871	4000225
2018	8	29	6.129	4000226
2018	8	29	7.13	4000227
2018	8	29	1.8387	4000228
2018	8	29	3.2258	4000229
2018	8	29	1.0968	4000230
2018	8	29	1.4194	4000231
2018	8	29	1.4355	4000232
2018	8	29	5.0323	4000233
2018	8	29	4.3871	4000234
2018	8	29	4.8387	4000235
2018	8	29	3.0323	4000236
2018	8	29	5.1613	4000237
2018	8	29	11.8	4000238
2018	8	29	0.0645	4000239
2018	8	29	1.2903	4000240
2018	8	29	0.33	4010167
2018	8	29	1.1935	4010168
2018	8	29	0	4010169
2018	8	29	60	4010170
2018	8	29	0.0036	4010171
2018	8	29	0.0123	4010172
2018	8	29	0.002	4010173
2018	8	29	1.1	4010174
2018	8	29	0	4010175
2018	8	29	0	4010176
2018	8	29	0	4010177
2018	8	29	0.1774	4010178
2018	8	29	0.3226	4010179
2018	8	29	0.1	4010180
2018	8	29	0	5000001
2018	8	29	11	5000002
2018	8	29	0	5000005
2018	8	29	7.6503	5000006
2018	8	29	0	5000007
2018	8	29	0.0256	5000008
2018	8	29	1.5037	5000010
2018	8	29	3.2045	5000016
2018	8	29	9	5000017
2018	8	29	0.1298	5000019
2018	8	29	0	5000023
2018	8	29	4.0967	5000026
2018	8	29	0.1286	5000027
2018	8	29	7.3477	5000039
2018	8	29	4.1562	5000040
2018	8	29	0	5000041
2018	8	29	1.9571	5000042
2018	8	29	0.7909	5000043
2018	8	29	1.557	5000044
2018	8	29	11	5000045
2018	8	29	0	5000046
2018	8	29	8	5000049
2018	8	29	0.0987	5000050
2018	8	29	0	5000053
2018	8	29	0.1882	5000054
2018	8	29	0.769	5000055
2018	8	29	5.0087	5000056
2018	8	29	3.307	5000058
2018	8	29	0.9737	5000059
2018	8	29	0.4669	5000060
2018	8	29	0.1328	5000064
2018	8	29	1.2853	5000067
2018	8	29	0.0437	5000069
2018	8	29	0.3277	5000070
2018	8	29	16.32	5000071
2018	8	29	1.2	5000072
2018	8	29	2.3523	5000073
2018	8	29	0	5000074
2018	8	29	32	5000081
2018	8	29	0.5898	5000082
2018	8	29	20.1768	5000083
2018	8	29	1.6092	5000089
2018	8	29	0	5000090
2018	8	29	1.6987	5000091
2018	8	29	0	5000092
2018	8	29	0	5000106
2018	8	29	0	5000146
2018	8	29	0	5000147
2018	8	29	0.2063	5000152
2018	8	29	0.0798	5000153
2018	8	29	0.1966	5000166
2018	8	29	0.0554	5000167
2018	8	29	0	5000178
2018	8	29	1.08	5000184
2018	8	29	0	5000204
2018	8	29	1.135	5000206
2018	8	29	0.68	5000207
2018	8	29	2.0651	5000208
2018	8	29	1.3045	5000209
2018	8	29	0.8176	5000219
2018	8	29	2.064	5000220
2018	8	29	0.8622	5000221
2018	8	29	0	5000228
2018	8	29	1.8113	5000229
2018	8	29	1.2623	5000242
2018	8	29	0.3015	5000251
2018	8	29	4.0904	5000252
2018	8	29	0.1183	5000253
2018	8	29	16	5000255
2018	8	29	0.5058	5000256
2018	8	29	0	5000260
2018	8	29	0	5000261
2018	8	29	0.1436	5000262
2018	8	29	0.3589	5000263
2018	8	29	0	5000276
2018	8	29	3.1675	5000279
2018	8	29	0.1707	5000280
2018	8	29	14.039	5000283
2018	8	29	0.5018	5000285
2018	8	29	0.4683	5000286
2018	8	29	1.5011	5000287
2018	8	29	2.9361	5000288
2018	8	29	0.1779	5000289
2018	8	29	0	5000290
2018	8	29	0	5000291
2018	8	29	0.8	5000292
2018	8	29	60	5000293
2018	8	29	2.0768	5000294
2018	8	29	1.0788	5000295
2018	8	29	0.4733	5000296
2018	8	29	1.6098	5000297
2018	8	29	0.3307	5000298
2018	8	29	0.3308	5000299
2018	8	29	0.3701	5000300
2018	8	29	0.1423	5000301
2018	8	29	0.7815	5000302
2018	8	29	0.4514	5000303
2018	8	29	1.0188	5000347
2018	8	29	1.7	5000348
